,Headlines,Day,Month,Date,Year,No. Comments,Author
296,CBAK Energy leads big moves in EV space,Fri,Sep,25, 2020,25,SA News
297,"Amazon debuts spherical new $99 Echo, security drone, game streaming service",Thu,Sep,24, 2020,83,SA News
298,Take the over on EVs - Morgan Stanley,Thu,Sep,24, 2020,265,SA News
299,California to ban new gasoline car sales by 2035,Wed,Sep,23, 2020,2488,SA News
300,"Tesla -8% as network outage, Battery Day reveals and tariff lawsuit digested",Wed,Sep,23, 2020,123,SA News
301,Tesla said to be experiencing 'complete network' outage,Wed,Sep,23, 2020,254,SA News
302,Tesla files lawsuit over China tariffs,Wed,Sep,23, 2020,119,SA News
303,Tesla -5% as Wall Street reactions to Battery Day start to pour in,Wed,Sep,23, 2020,451,SA News
304,"Tesla Battery Day: Promises for battery breakthroughs, $25K EV",Tue,Sep,22, 2020,1020,SA News
305,"Tesla Battery Day event on tap: Discuss, debate, dissect",Tue,Sep,22, 2020,241,SA News
306,WM Motor lands new investments as it rushes into crowded China EV market,Tue,Sep,22, 2020,23,SA News
307,Elon Musk sets expectations for Tesla's Battery Day Event,Mon,Sep,21, 2020,265,SA News
308,Michigan looks to slam the door tight on direct sales,Mon,Sep,21, 2020,182,SA News
309,Tesla eyes starting up in India with R&D center,Mon,Sep,21, 2020,38,SA News
310,Musk rallies the troops with 'shot at record quarter',Mon,Sep,21, 2020,424,SA News
311,"Tesla Energy to become $200B revenue business, Piper analyst predicts",Fri,Sep,18, 2020,460,SA News
312,Seeking Alpha Catalyst Watch,Fri,Sep,18, 2020,7,SA News
313,Ford aims for electric F-150 to be the blue collar winner,Thu,Sep,17, 2020,542,SA News
314,"Retail investors had 'de minimis' impact on latest rally, BMO's Belski says",Wed,Sep,16, 2020,47,SA News
315,Tesla slips after GM ramps up EV plans,Wed,Sep,16, 2020,175,SA News
316,A routine Nasdaq bounce? Small caps tell a different story,Mon,Sep,14, 2020,2,SA News
317,Tesla rallies as Battery Day approaches,Mon,Sep,14, 2020,323,SA News
318,"Evercore picks automakers, suppliers to gain from early valuation roll",Fri,Sep,11, 2020,3,SA News
319,Tesla in talks to buy low carbon nickel from Canada's Giga Metals - Reuters,Fri,Sep,11, 2020,79,SA News
320,UBS doubles its price target on Tesla ahead of Battery Day event,Fri,Sep,11, 2020,229,SA News
321,Tesla's profitability streak and S&P 500 inclusion threatened by Musk's bonus expense,Fri,Sep,11, 2020,296,SA News
322,"Oppenheimer weighs prospects of Biden victory for industrial, resource names",Thu,Sep,10, 2020,22,SA News
323,Tesla +5% as investors eye progress in Berlin and Austin,Thu,Sep,10, 2020,330,SA News
324,Tesla and Chinese EV stocks break higher again,Wed,Sep,09, 2020,90,SA News
325,"Tesla sees biggest one-day percentage loss, off 21%",Tue,Sep,08, 2020,519,SA News
326,Tesla blows off three weeks of gains with 17% drop,Tue,Sep,08, 2020,307,SA News
327,Tesla -12% after S&P 500 snub sends shockwaves,Tue,Sep,08, 2020,377,SA News
328,"China's auto sales to grow slightly in next five years, industry body predicts",Mon,Sep,07, 2020,78,SA News
329,Tesla -4.3% as S&P 500 rebalance skips automaker,Fri,Sep,04, 2020,1316,SA News
330,Tesla cruises into correction territory,Fri,Sep,04, 2020,238,SA News
331,Tesla falls -7% as selling pressure extends for a second day,Thu,Sep,03, 2020,352,SA News
332,Tesla cools off finally while Bank of America cracks the code on the huge rally,Wed,Sep,02, 2020,242,SA News
333,Baillie Gifford lowers stake in Tesla due to concentration rule,Wed,Sep,02, 2020,97,SA News
334,Tesla is raising money. So how will shares perform if history is a guide?,Tue,Sep,01, 2020,18,SA News
335,Loeb's pivot to growth tech stocks pays off in August; Einhorn fund barely rises,Tue,Sep,01, 2020,40,SA News
336,"History says Apple, Tesla momentum can become even more extraordinary",Tue,Sep,01, 2020,209,SA News
337,Tesla capital raise called a smart move,Tue,Sep,01, 2020,438,SA News
338,Tesla raising capital with at-the-market agreement for up to $5B in shares,Tue,Sep,01, 2020,443,SA News
339,Stock split mania continues for Tesla and Apple investors,Tue,Sep,01, 2020,173,SA News
340,Are price targets now passé?,Mon,Aug,31, 2020,126,SA News
341,"Apple, Tesla moves validate early split optimism as combined market caps swell by $100B",Mon,Aug,31, 2020,364,SA News
342,"Tech, consumer stocks on track to drive best August Dow, S&P return in decades",Sun,Aug,30, 2020,70,SA News
343,How should you trade the Apple and Tesla stock splits?,Sun,Aug,30, 2020,573,SA News
344,Overlooked bond market stars may be winners in new Fed policy,Thu,Aug,27, 2020,3,SA News
345,Chinese EV upstart Xpeng raises US IPO size to $1.5B,Thu,Aug,27, 2020,98,SA News
346,Chinese EV stocks gain as Tesla halo spreads,Wed,Aug,26, 2020,77,SA News
347,Tesla catches new Street-high price target from Jefferies,Wed,Aug,26, 2020,211,SA News
348,Elon Musk teases big battery breakthrough,Tue,Aug,25, 2020,744,SA News
349,One bastion of safety may offer little solace as strategist sounds alarm for 'correction',Mon,Aug,24, 2020,744,SA News
350,Tesla +3% after Wedbush talks up China potential again,Mon,Aug,24, 2020,203,SA News
351,Tesla valuation a splitting headache for peers,Fri,Aug,21, 2020,631,SA News
352,Xpeng Motors aims to bring in more than $1B with IPO,Fri,Aug,21, 2020,28,SA News
353,Global markets churn higher on vaccine hopes,Fri,Aug,21, 2020,170,SA News
354,"Tesla cracks $2,000 as momentum redlines",Thu,Aug,20, 2020,791,SA News
355,New high for Tesla as Main Street takes over for Wall Street,Tue,Aug,18, 2020,348,SA News
356,Kandi enters U.S. market with economy EV models,Tue,Aug,18, 2020,131,SA News
357,Tesla locks horns with Pinduoduo over discounted Model 3s,Mon,Aug,17, 2020,129,SA News
358,Tesla gains after catching price target boost from Wedbush,Mon,Aug,17, 2020,394,SA News
359,"Coatue buys Boeing, adds Disney, cuts Tesla, exits Snap",Sun,Aug,16, 2020,77,SA News
360,Appaloosa (David Tepper) adds new stakes in AT&T; trims Facebook position,Fri,Aug,14, 2020,67,SA News
361,Greenlight Capital picks up VanEck Vectors Gold Miners ETF shares,Fri,Aug,14, 2020,41,SA News
362,"Tesla +3% after bearish takes wadded up by BofA, Morgan Stanley",Fri,Aug,14, 2020,223,SA News
363,Tesla may be working on new car model made in China - report,Thu,Aug,13, 2020,204,SA News
364,GM comes in low with Cadillac Lyriq pricing,Thu,Aug,13, 2020,284,SA News
365,Bright lights on the EV sector after Tesla's stock split,Wed,Aug,12, 2020,304,SA News
366,Tesla +7% after firing off five-for-one split,Tue,Aug,11, 2020,813,SA News
367,Nikola talks disruption during appearance at JPMorgan auto conference,Tue,Aug,11, 2020,169,SA News
368,China auto industry comes roaring back with some help from EVs,Tue,Aug,11, 2020,89,SA News
369,Tesla -4% with South Korea considering EV incentive change,Mon,Aug,10, 2020,118,SA News
370,Hyundai Motor rallies on Ioniq EV plan,Mon,Aug,10, 2020,67,SA News
371,"Chinese luxury EV maker Xpeng files for an IPO, boosting prospects for Tesla competition",Mon,Aug,10, 2020,22,SA News
372,How will stocks perform under different U.S. election scenarios?,Sat,Aug,08, 2020,2223,SA News
373,White House targets WeChat; Here are some of Tencent's biggest investments,Fri,Aug,07, 2020,232,SA News
374,Sanders goes after pandemic wealth gains as Biden moves closer on taxes,Fri,Aug,07, 2020,352,SA News
375,"BMW talks electric vehicles, and TSLA investors are listening",Thu,Aug,06, 2020,225,SA News
376,Story stocks lead QQQ's record-setting year as investors reach for higher multiples,Wed,Aug,05, 2020,4,SA News
377,Greenlight Capital points to upside at Atlas Air and tricks at Tesla,Tue,Aug,04, 2020,82,SA News
378,U.S. auto industry starts long road back with sequential improvement in July,Mon,Aug,03, 2020,52,SA News
379,EV sector rips higher after Lordstown Motors goes public,Mon,Aug,03, 2020,175,SA News
380,PG&E and Tesla break ground on energy storage project,Wed,Jul,29, 2020,314,SA News
381,Tesla to challenge Toyota and Volkswagen on volume - Morgan Stanley,Wed,Jul,29, 2020,358,SA News
382,"Tesla open to licensing software, supplying batteries to other automakers",Wed,Jul,29, 2020,261,SA News
383,"Solar ETF surges by gold, tech in scorching month",Tue,Jul,28, 2020,3,SA News
384,Tesla gets a callout from China's ambassador to the U.S.,Tue,Jul,28, 2020,182,SA News
385,BMW seen hitting some potholes in electrification push,Tue,Jul,28, 2020,120,SA News
386,Tesla -3% after runaway valuation sends Bernstein to the bear camp,Tue,Jul,28, 2020,145,SA News
387,Tesla hailed as autonomous rides leader in threat to Uber and Lyft,Mon,Jul,27, 2020,365,SA News
388,"Tesla sues Rivian for theft of trade secrets, saying employees took confidential docs when leaving Tesla",Sat,Jul,25, 2020,311,SA News
389,"Geopolitical tension strains EV stocks like Tesla, Nio after momentous run",Fri,Jul,24, 2020,105,SA News
390,Huge Tesla bear says automaker will ‘hemorrhage cash’ this year,Thu,Jul,23, 2020,439,SA News
391,Tesla's hunt for nickel could be a big opportunity for a miner,Thu,Jul,23, 2020,93,SA News
392,Analysts buzz over Tesla results after another profitable quarter,Thu,Jul,23, 2020,273,SA News
393,Tesla earnings call: Austin confirmed as next Gigafactory site,Wed,Jul,22, 2020,153,SA News
394,Tesla +6% after Q2 profit sets it up for S&P 500 inclusion,Wed,Jul,22, 2020,436,SA News
395,Tesla beats on revenue,Wed,Jul,22, 2020,321,SA News
396,Tesla earnings on tap with S&P 500 inclusion a wildcard,Wed,Jul,22, 2020,109,SA News
397,Bill Ackman bought a Tesla. Separately says he's short high yield names,Wed,Jul,22, 2020,142,SA News
398,Tesla Q2 2020 Earnings Preview,Tue,Jul,21, 2020,145,SA News
399,Elon Musk qualifies for another $2.1B payday,Tue,Jul,21, 2020,164,SA News
400,Tesla looks pricey vs. Apple and Amazon at the $300B marker,Tue,Jul,21, 2020,176,SA News
401,Tesla +3% as it shakes off another sell-side downgrade,Tue,Jul,21, 2020,55,SA News
402,Tesla guns for record Q3 as shares gain another 10%,Mon,Jul,20, 2020,270,SA News
403,New Tesla bear: 'look out below' if GAAP profit eludes,Mon,Jul,20, 2020,126,SA News
404,Xpeng Motors raises more money for EV push,Mon,Jul,20, 2020,31,SA News
405,Tesla momentum prompts Credit Suisse to double its price target,Thu,Jul,16, 2020,185,SA News
406,Small biotech takes a ride higher with Tesla,Wed,Jul,15, 2020,43,SA News
407,Texas county OKs $14M-plus in Tesla tax breaks for factory,Tue,Jul,14, 2020,203,SA News
408,Musk: 'Wow' on Tesla's price target boost from Piper,Tue,Jul,14, 2020,238,SA News
409,Tesla +6% after report of Chongqing interest,Tue,Jul,14, 2020,145,SA News
410,Tesla short sellers may be key to stock's momentum,Mon,Jul,13, 2020,30,SA News
411,Market pares gains as momentum stocks lose some steam,Mon,Jul,13, 2020,33,SA News
412,Buying frenzy on Tesla stays energized,Mon,Jul,13, 2020,456,SA News
413,Tesla sets sights on $2K as another bear bails,Mon,Jul,13, 2020,314,SA News
414,"Tesla drops prices again, cuts Model Y by $3,000",Sun,Jul,12, 2020,1040,SA News
415,Li Auto to trade in the U.S. as investor interest in EVs soars,Sat,Jul,11, 2020,95,SA News
416,"Tesla crosses $1,500 mark for the first time",Fri,Jul,10, 2020,639,SA News
417,Market gains traction midday as momentum stocks take off,Fri,Jul,10, 2020,39,SA News
418,Rivian looks to be the next EV disruptor after landing new investments,Fri,Jul,10, 2020,144,SA News
419,Tesla poised to electrify S&P 500 - Reuters,Thu,Jul,09, 2020,347,SA News
420,Valuation expert on Tesla: 'left a lot of money' on the table,Thu,Jul,09, 2020,263,SA News
421,Tesla 'very close' to level 5 self-driving technology,Thu,Jul,09, 2020,913,SA News
422,"Robinhood trading trends favor Tesla, Berkshire, Robintrack founder says",Wed,Jul,08, 2020,116,SA News
423,China auto sales drop in June,Wed,Jul,08, 2020,234,SA News
424,Sunrun deal for Vivint to top Tesla as rooftop solar juggernaut,Tue,Jul,07, 2020,57,SA News
425,Tesla bears capitulate for the near term,Tue,Jul,07, 2020,363,SA News
426,Tesla market cap crown brings focus on valuation,Mon,Jul,06, 2020,367,SA News
427,"Tesla +6% after JMP hikes price target to $1,500",Mon,Jul,06, 2020,279,SA News
428,Musk teases Tesla shortsellers with 'Short Shorts',Mon,Jul,06, 2020,319,SA News
429,Musk tweaks SEC again with Tesla shares cruising,Thu,Jul,02, 2020,418,SA News
430,Tesla revamps plan for Giga Berlin,Thu,Jul,02, 2020,116,SA News
431,Tesla Q2 deliveries top 90K vs. 83K estimate; shares up 10%,Thu,Jul,02, 2020,602,SA News
432,Some clean energy ETFs shine in brutal first half for fossil fuels,Wed,Jul,01, 2020,13,SA News
433,Tesla rallies more to become the most valuable automaker,Wed,Jul,01, 2020,556,SA News
434,"Tesla investors frontrun deliveries report, potential S&P 500 inclusion",Tue,Jun,30, 2020,293,SA News
435,Germany called a bright spot for Tesla,Tue,Jun,30, 2020,166,SA News
436,'Breaking even is looking super tight' - Musk,Tue,Jun,30, 2020,213,SA News
437,EV pickups look for mainstream appeal,Mon,Jun,29, 2020,120,SA News
438,EV names lead auto sector higher,Mon,Jun,29, 2020,88,SA News
439,Tesla seen topping Q2 deliveries expectations,Mon,Jun,29, 2020,412,SA News
440,Sector Watch: Can Tesla deliveries lead autos as incentives wane?,Sun,Jun,28, 2020,84,SA News
441,Bezos a copycat - Elon Musk comments on Amazon's Zoox purchase,Fri,Jun,26, 2020,240,SA News
442,Amazon drives into autonomous vehicle chase with Zoox acquisition,Fri,Jun,26, 2020,99,SA News
443,Tesla workers claim they were terminated for safety complaints,Thu,Jun,25, 2020,115,SA News
444,Stage is set for the 2021 Ford F-150,Thu,Jun,25, 2020,339,SA News
445,Dodge shocks with top overall quality marks from J.D. Power,Wed,Jun,24, 2020,164,SA News
446,NHTSA probes Tesla over Model S touchscreens,Wed,Jun,24, 2020,167,SA News
447,Wait for a better entry point on Tesla - Morgan Stanley,Tue,Jun,23, 2020,147,SA News
448,Nevada supports clean car program,Tue,Jun,23, 2020,39,SA News
449,Cybertruck expected to hit the market strong,Mon,Jun,22, 2020,657,SA News
450,Tesla expected to offer 7-seat Model Y,Mon,Jun,22, 2020,173,SA News
451,"Tesla will postpone annual meeting, Musk says",Sat,Jun,20, 2020,338,SA News
452,J.P. Morgan favors these names for the stunning auto-sales recovery,Fri,Jun,19, 2020,7,SA News
453,JPMorgan pitches a tent in the Tesla bear camp,Fri,Jun,19, 2020,313,SA News
454,BMW and Mercedes go down different self-driving roads,Fri,Jun,19, 2020,108,SA News
455,Tesla pushes for sweet deal in Texas,Thu,Jun,18, 2020,232,SA News
456,Tesla widening the gap with peers - Jefferies,Thu,Jun,18, 2020,330,SA News
457,Board drama at Tesla as shares near $1K again,Thu,Jun,18, 2020,114,SA News
458,Tesla gets a pass for drop in California demand,Wed,Jun,17, 2020,117,SA News
459,"Tesla's California registrations fell 37% in recent months, the WSJ reports",Wed,Jun,17, 2020,170,SA News
460,Model Y complaints start to stack up,Tue,Jun,16, 2020,292,SA News
461,Glencore to sell cobalt to Tesla for new car plants - FT,Tue,Jun,16, 2020,117,SA News
462,Austin closes in on Tesla plant offer,Mon,Jun,15, 2020,196,SA News
463,Biggest increase in three years for EV charging points,Mon,Jun,15, 2020,148,SA News
464,Main Street has killed Wall Street during this rally. Here are the stocks they're buying,Mon,Jun,15, 2020,172,SA News
465,EV semis move toward proof of concept,Sat,Jun,13, 2020,399,SA News
466,"Tesla cut at Morgan Stanley on Amazon, China risk",Fri,Jun,12, 2020,253,SA News
467,GM over Tesla for the near term - Goldman Sachs,Fri,Jun,12, 2020,110,SA News
468,Nowhere to hide in auto sector today,Thu,Jun,11, 2020,84,SA News
469,China Model 3s approved with LFP batteries,Thu,Jun,11, 2020,283,SA News
470,"Tesla tops $1,000",Wed,Jun,10, 2020,510,SA News
471,"Tesla nears $1,000 as investors eye Semi, China potential",Wed,Jun,10, 2020,166,SA News
472,Tesla tagged with higher price target at Wedbush,Wed,Jun,10, 2020,66,SA News
473,Time for a Nikola Tesla ETF?,Tue,Jun,09, 2020,98,SA News
474,Tesla just getting started - Ron Baron,Tue,Jun,09, 2020,239,SA News
475,Musk says Model Y facing production and supply chain issues,Tue,Jun,09, 2020,70,SA News
476,Tesla +4% on strong bullish vibe,Mon,Jun,08, 2020,215,SA News
477,Tesla China model 3 sales volume triples in May,Mon,Jun,08, 2020,181,SA News
478,"Tesla's Musk throws down on Amazon, calls for breakup",Thu,Jun,04, 2020,342,SA News
479,Siemens-AES JV plans massive Tesla-beating lithium ion batteries,Thu,Jun,04, 2020,69,SA News
480,Germany ramps up EV incentives,Thu,Jun,04, 2020,135,SA News
481,Nikola goes public via VectoIQ merger,Thu,Jun,04, 2020,230,SA News
482,GM plots electric van to preempt Tesla,Thu,Jun,04, 2020,103,SA News
483,Cities push ahead with Tesla truck factory pursuit,Tue,Jun,02, 2020,130,SA News
484,China auto sales gain for second month in a row,Tue,Jun,02, 2020,69,SA News
485,Rocket boost for Tesla,Mon,Jun,01, 2020,279,SA News
486,Tesla expected to deliver Model Ys faster,Mon,Jun,01, 2020,185,SA News
487,SpaceX liftoff a success after week's earlier scrapping,Sat,May,30, 2020,311,SA News
488,EV sales forecast to soar in 2021,Fri,May,29, 2020,561,SA News
489,SpaceX borrows some Tesla employees,Fri,May,29, 2020,98,SA News
490,Elon Musk earns $775M performance-based payout,Thu,May,28, 2020,380,SA News
491,"In volatile market, Morgan Stanley chooses secular growth winners",Wed,May,27, 2020,7,SA News
492,Tesla catches PT boost from Wedbush,Wed,May,27, 2020,149,SA News
493,"Tesla to cut prices for some models in North America, China",Wed,May,27, 2020,219,SA News
494,Tesla seeks to build Model 3 with LFP batteries in China - Reuters,Sat,May,23, 2020,373,SA News
495,Online auto shopping on the rise,Fri,May,22, 2020,142,SA News
496,Ackman tempts Musk to join cities with Howard Hughes presence,Thu,May,21, 2020,90,SA News
497,Construction buzzing at Tesla's Shanghai Gigafactory - Electrek,Thu,May,21, 2020,140,SA News
498,Does Tesla need an operational leader?,Thu,May,21, 2020,184,SA News
499,Tesla gives anxious Fremont workers an option,Thu,May,21, 2020,125,SA News
500,Tesla abandons lawsuit to keep California plant open - CNBC,Wed,May,20, 2020,129,SA News
501,Tesla's China registrations slump in April,Tue,May,19, 2020,222,SA News
502,Morgan Stanley still stuck in neutral on Tesla,Mon,May,18, 2020,55,SA News
503,Expansion could be back on for Nevada Gigafactory,Mon,May,18, 2020,54,SA News
504,Tesla eyes S&P 500 inclusion,Mon,May,18, 2020,170,SA News
505,Tesla tells employees it received a nod to reopen California plant,Sun,May,17, 2020,201,SA News
506,"Appaloosa Management buys Twitter, exits Caesars, cuts Facebook",Sat,May,16, 2020,114,SA News
507,Saudi sovereign Fund adds Facebook and Disney to holdings,Sat,May,16, 2020,98,SA News
508,"Panasonic resumes work at Tesla Nevada facility, delays New York start",Fri,May,15, 2020,51,SA News
509,Austin expected to land next Tesla Gigafactory,Fri,May,15, 2020,316,SA News
510,Tesla plans for electrifying reveal at Battery Day,Thu,May,14, 2020,445,SA News
511,Tesla employees face return to work dilemma,Thu,May,14, 2020,138,SA News
512,Tesla dips after California AG chimes in,Wed,May,13, 2020,258,SA News
513,Tesla tipped to cut Model 3 prices in China,Wed,May,13, 2020,92,SA News
514,Tesla can reopen Fremont with additional precautions,Wed,May,13, 2020,165,SA News
515,Tesla gains as POTUS backs Fremont opening,Tue,May,12, 2020,215,SA News
516,Alameda doesn't handcuff Tesla,Mon,May,11, 2020,280,SA News
517,"Tesla ignores local authorities, to restart production in Fremont",Mon,May,11, 2020,467,SA News
518,Texas pursues Tesla,Mon,May,11, 2020,240,SA News
519,Tesla lower as relocation risk sized up,Mon,May,11, 2020,158,SA News
520,Tesla model 3 sales in China plunge 64% in April,Mon,May,11, 2020,225,SA News
521,Musk says Tesla is done with California,Sat,May,09, 2020,1169,SA News
522,Tesla secures lending line in China,Sat,May,09, 2020,135,SA News
523,Tesla not yet cleared to reopen California plant,Fri,May,08, 2020,173,SA News
524,Tesla rallies right past report of European chief exit,Fri,May,08, 2020,189,SA News
525,Tesla set to restart operations at Fremont,Fri,May,08, 2020,214,SA News
526,Tesla extends break at Shanghai plant,Thu,May,07, 2020,183,SA News
527,Green shoots in China auto,Thu,May,07, 2020,55,SA News
528,Model 3 tops the list in collapsed U.K. market,Wed,May,06, 2020,243,SA News
529,"Ferrari tops Detroit Three, Tesla tops all",Tue,May,05, 2020,216,SA News
530,Tesla +6% with Musk tweet in rear-view mirror,Mon,May,04, 2020,109,SA News
531,EVs remain a priority in China,Mon,May,04, 2020,116,SA News
532,A glut for the U.S. auto industry,Sun,May,03, 2020,310,SA News
533,Tesla applies to provide electricity in U.K.- Telegraph,Sat,May,02, 2020,349,SA News
534,Tesla extends timeline on return to work,Sat,May,02, 2020,149,SA News
535,Elon Musk downgrades Tesla (updated),Fri,May,01, 2020,1146,SA News
536,Greenlight talks the longs and shorts of Q1,Fri,May,01, 2020,48,SA News
537,Einhorn's Greenlight Capital slips again in April,Fri,May,01, 2020,97,SA News
538,Tesla drops Model 3 prices in China for subsidy inclusion,Fri,May,01, 2020,88,SA News
539,Einhorn barks at Musk again,Thu,Apr,30, 2020,294,SA News
540,Tesla pares early pop after the dust settles,Thu,Apr,30, 2020,126,SA News
541,"Lockdowns are 'fascist,' says Musk, Zuckerberg disagrees",Thu,Apr,30, 2020,513,SA News
542,Wedbush sees Tesla hitting 100K run rate in China,Wed,Apr,29, 2020,107,SA News
543,Tesla +10% with a plan to put the pedal to the metal (updated),Wed,Apr,29, 2020,169,SA News
544,Tesla rides higher after surprise Q1 profit,Wed,Apr,29, 2020,299,SA News
545,"Tesla EPS beats by $1.45, beats on revenue",Wed,Apr,29, 2020,305,SA News
546,Tesla Q1 2020 Earnings Preview,Tue,Apr,28, 2020,140,SA News
547,Huge payday looming for Elon Musk,Tue,Apr,28, 2020,259,SA News
548,"Into earnings, Baird points to high-interest Energy Tech names",Mon,Apr,27, 2020,259,SA News
549,Tesla reverses plan to bring workers back to Fremont plant - CNBC,Mon,Apr,27, 2020,124,SA News
550,Tesla rallies even with Fremont opening date unclear,Mon,Apr,27, 2020,120,SA News
551,Tesla +4% as earnings day approaches,Mon,Apr,27, 2020,214,SA News
552,Tesla calling some workers back to California plant next week - Bloomberg,Sat,Apr,25, 2020,196,SA News
553,Texas in the mix for Tesla plant,Sat,Apr,25, 2020,178,SA News
554,Musk: Tesla will build cybertrucks wherever new factory lands,Fri,Apr,24, 2020,104,SA News
555,Tesla raises China prices after subsidies cut,Fri,Apr,24, 2020,198,SA News
556,Tesla's new board member likes to take on shorts,Thu,Apr,23, 2020,142,SA News
557,BofA sees Tesla going in reverse,Wed,Apr,22, 2020,239,SA News
558,"Robinhood names top 10 stocks in March, as platform saw surging volumes",Mon,Apr,20, 2020,360,SA News
559,Tesla keeps trucking higher,Fri,Apr,17, 2020,441,SA News
560,Lawsuit over Elon Musk's 'funding secured' tweet moves on,Wed,Apr,15, 2020,431,SA News
561,Animal spirits firing up again on Tesla,Wed,Apr,15, 2020,249,SA News
562,Zoox agrees to settle lawsuit with Tesla for alleged trade secret theft,Wed,Apr,15, 2020,27,SA News
563,Tesla China registrations jump with Shanghai pumping out Model 3s,Wed,Apr,15, 2020,106,SA News
564,Goldman Sachs a believer in Tesla,Tue,Apr,14, 2020,242,SA News
565,Joplin makes a strong play for the Midwest Gigafactory,Tue,Apr,14, 2020,109,SA News
566,Auto sector burns cash with plants idled,Tue,Apr,14, 2020,133,SA News
567,Credit Suisse pulls bearish view on Tesla,Tue,Apr,14, 2020,187,SA News
568,Tesla pursues rent reductions amid pandemic - WSJ,Tue,Apr,14, 2020,162,SA News
569,Tesla to sell more Shanghai-built versions of Model 3,Fri,Apr,10, 2020,264,SA News
570,China auto starts slow crawl back,Thu,Apr,09, 2020,44,SA News
571,"Tesla cuts pay, furloughs hourly workers until May 4",Tue,Apr,07, 2020,208,SA News
572,Tesla jumps to four-week high,Tue,Apr,07, 2020,71,SA News
573,Longer range China-made Model 3,Tue,Apr,07, 2020,108,SA News
574,Tesla +5% after Jefferies bump,Mon,Apr,06, 2020,198,SA News
575,Tesla letting off contract workers at US car and battery plants,Sat,Apr,04, 2020,158,SA News
576,Tesla +7% as investors take the longer view,Fri,Apr,03, 2020,132,SA News
577,Tesla rallies after deliveries top 88K,Thu,Apr,02, 2020,806,SA News
578,Cybertruck talk picks up,Thu,Apr,02, 2020,159,SA News
579,"Chanos covers Luckin short, warns on ""virus"" names",Thu,Apr,02, 2020,260,SA News
580,Tesla seen riding out pandemic,Wed,Apr,01, 2020,410,SA News
581,Tesla deliveries estimates to be dialed down,Mon,Mar,30, 2020,199,SA News
582,Tesla to cut staff by 75% at Gigafactory 1,Fri,Mar,27, 2020,383,SA News
583,Tesla to start delivering ventilators to NY hospitals tonight,Thu,Mar,26, 2020,332,SA News
584,Tesla informs employees about positive coronavirus cases,Thu,Mar,26, 2020,165,SA News
585,Giga New York to reopen for ventilator production,Thu,Mar,26, 2020,303,SA News
586,Tesla shakes off bear call,Tue,Mar,24, 2020,206,SA News
587,Tesla nabs ventilators from China in COVID-19 fight,Tue,Mar,24, 2020,138,SA News
588,Steep drop in U.S. auto sales forecast for full year,Mon,Mar,23, 2020,73,SA News
589,Automakers get green light for ventilators,Mon,Mar,23, 2020,166,SA News
590,Musk discusses ventilators with Medtronic,Sun,Mar,22, 2020,236,SA News
591,Panasonic pulls the plug at the Gigafactory for two weeks,Sat,Mar,21, 2020,182,SA News
592,Auto sector gains even as plants go dark,Fri,Mar,20, 2020,50,SA News
593,Tesla suspends production in California,Thu,Mar,19, 2020,503,SA News
594,NTSB cites Tesla's Autopilot in fatal Model 3 crash,Thu,Mar,19, 2020,142,SA News
595,Tesla rallies with the lights still on in Fremont,Thu,Mar,19, 2020,175,SA News
596,Wedbush expects rough road for Tesla in near term,Thu,Mar,19, 2020,117,SA News
597,Tesla will make ventilators if there's a shortage,Thu,Mar,19, 2020,271,SA News
598,Tesla keeping Fremont plant open with fraction of workers - Sheriff,Wed,Mar,18, 2020,222,SA News
599,Detroit automakers close U.S. plants while Tesla holds out,Wed,Mar,18, 2020,187,SA News
600,Tesla -10% as Fremont production in question,Wed,Mar,18, 2020,327,SA News
601,Tesla plant not considered an essential Bay Area business,Tue,Mar,17, 2020,277,SA News
602,Morgan Stanley stress tests auto,Tue,Mar,17, 2020,3,SA News
603,Tesla to stay running in Fremont,Tue,Mar,17, 2020,236,SA News
604,Tesla delivers its first Model Y,Tue,Mar,17, 2020,268,SA News
605,RBC expects 20% decline in US vehicle sales amid coronavirus outbreak,Tue,Mar,17, 2020,28,SA News
606,Bernstein still sees Tesla as overvalued,Mon,Mar,16, 2020,126,SA News
607,Transports reeling after U.S. shutdowns,Mon,Mar,16, 2020,51,SA News
608,Tesla falls sharply as U.S. coronavirus anxiety ramps up,Mon,Mar,16, 2020,249,SA News
609,U.S. auto set to zoom higher,Fri,Mar,13, 2020,128,SA News
610,Tesla posts double-digit drop,Thu,Mar,12, 2020,251,SA News
611,Auto stocks slammed in early trading,Thu,Mar,12, 2020,114,SA News
612,Tesla looks to build Cybertruck in central U.S.,Tue,Mar,10, 2020,472,SA News
613,Tesla said to lose key Model 3 exec,Tue,Mar,10, 2020,145,SA News
614,Cheap gas not seen disrupting EV transformation,Tue,Mar,10, 2020,299,SA News
615,Tesla makes one millionth car,Tue,Mar,10, 2020,243,SA News
616,Tesla plans to hike Shanghai factory's car parts production - Reuters,Tue,Mar,10, 2020,159,SA News
617,The auto sector spins out,Mon,Mar,09, 2020,110,SA News
618,Tesla -11% as investors take risk off the table,Mon,Mar,09, 2020,164,SA News
619,Top investor says Tesla is 'better run' after shakeup,Mon,Mar,09, 2020,101,SA News
620,Tesla gets green light in China for longer-range Model 3,Fri,Mar,06, 2020,389,SA News
621,Wedbush sees GM as serious player in EVs,Wed,Mar,04, 2020,187,SA News
