,Headlines,Day,Month,Date,Year,No. Comments,Author,Classification
294,"BMW talks electric vehicles, and TSLA investors are listening",Thu,Aug,6,2020,225,SA News,
295,Story stocks lead QQQ's record-setting year as investors reach for higher multiples,Wed,Aug,5,2020,4,SA News,
296,Greenlight Capital points to upside at Atlas Air and tricks at Tesla,Tue,Aug,4,2020,82,SA News,
297,U.S. auto industry starts long road back with sequential improvement in July,Mon,Aug,3,2020,52,SA News,
298,EV sector rips higher after Lordstown Motors goes public,Mon,Aug,3,2020,175,SA News,
299,PG&E and Tesla break ground on energy storage project,Wed,Jul,29,2020,314,SA News,
300,Tesla to challenge Toyota and Volkswagen on volume - Morgan Stanley,Wed,Jul,29,2020,358,SA News,
301,"Tesla open to licensing software, supplying batteries to other automakers",Wed,Jul,29,2020,261,SA News,
302,"Solar ETF surges by gold, tech in scorching month",Tue,Jul,28,2020,3,SA News,
303,Tesla gets a callout from China's ambassador to the U.S.,Tue,Jul,28,2020,182,SA News,
304,BMW seen hitting some potholes in electrification push,Tue,Jul,28,2020,120,SA News,
305,Tesla -3% after runaway valuation sends Bernstein to the bear camp,Tue,Jul,28,2020,145,SA News,
306,Tesla hailed as autonomous rides leader in threat to Uber and Lyft,Mon,Jul,27,2020,365,SA News,
307,"Tesla sues Rivian for theft of trade secrets, saying employees took confidential docs when leaving Tesla",Sat,Jul,25,2020,311,SA News,
308,"Geopolitical tension strains EV stocks like Tesla, Nio after momentous run",Fri,Jul,24,2020,105,SA News,
309,Huge Tesla bear says automaker will ‘hemorrhage cash’ this year,Thu,Jul,23,2020,439,SA News,
310,Tesla's hunt for nickel could be a big opportunity for a miner,Thu,Jul,23,2020,93,SA News,
311,Analysts buzz over Tesla results after another profitable quarter,Thu,Jul,23,2020,273,SA News,
312,Tesla earnings call: Austin confirmed as next Gigafactory site,Wed,Jul,22,2020,153,SA News,
313,Tesla +6% after Q2 profit sets it up for S&P 500 inclusion,Wed,Jul,22,2020,436,SA News,
314,Tesla beats on revenue,Wed,Jul,22,2020,321,SA News,
315,Tesla earnings on tap with S&P 500 inclusion a wildcard,Wed,Jul,22,2020,109,SA News,
316,Bill Ackman bought a Tesla. Separately says he's short high yield names,Wed,Jul,22,2020,142,SA News,
317,Tesla Q2 2020 Earnings Preview,Tue,Jul,21,2020,145,SA News,
318,Elon Musk qualifies for another $2.1B payday,Tue,Jul,21,2020,164,SA News,
319,Tesla looks pricey vs. Apple and Amazon at the $300B marker,Tue,Jul,21,2020,176,SA News,
320,Tesla +3% as it shakes off another sell-side downgrade,Tue,Jul,21,2020,55,SA News,
321,Tesla guns for record Q3 as shares gain another 10%,Mon,Jul,20,2020,270,SA News,
322,New Tesla bear: 'look out below' if GAAP profit eludes,Mon,Jul,20,2020,126,SA News,
323,Xpeng Motors raises more money for EV push,Mon,Jul,20,2020,31,SA News,
324,Tesla momentum prompts Credit Suisse to double its price target,Thu,Jul,16,2020,185,SA News,
325,Small biotech takes a ride higher with Tesla,Wed,Jul,15,2020,43,SA News,
326,Texas county OKs $14M-plus in Tesla tax breaks for factory,Tue,Jul,14,2020,203,SA News,
327,Musk: 'Wow' on Tesla's price target boost from Piper,Tue,Jul,14,2020,238,SA News,
328,Tesla +6% after report of Chongqing interest,Tue,Jul,14,2020,145,SA News,
329,Tesla short sellers may be key to stock's momentum,Mon,Jul,13,2020,30,SA News,
330,Market pares gains as momentum stocks lose some steam,Mon,Jul,13,2020,33,SA News,
331,Buying frenzy on Tesla stays energized,Mon,Jul,13,2020,456,SA News,
332,Tesla sets sights on $2K as another bear bails,Mon,Jul,13,2020,314,SA News,
333,"Tesla drops prices again, cuts Model Y by $3,000",Sun,Jul,12,2020,1040,SA News,
334,Li Auto to trade in the U.S. as investor interest in EVs soars,Sat,Jul,11,2020,95,SA News,
335,"Tesla crosses $1,500 mark for the first time",Fri,Jul,10,2020,639,SA News,
336,Market gains traction midday as momentum stocks take off,Fri,Jul,10,2020,39,SA News,
337,Rivian looks to be the next EV disruptor after landing new investments,Fri,Jul,10,2020,144,SA News,
338,Tesla poised to electrify S&P 500 - Reuters,Thu,Jul,9,2020,347,SA News,
339,Valuation expert on Tesla: 'left a lot of money' on the table,Thu,Jul,9,2020,263,SA News,
340,Tesla 'very close' to level 5 self-driving technology,Thu,Jul,9,2020,913,SA News,
341,"Robinhood trading trends favor Tesla, Berkshire, Robintrack founder says",Wed,Jul,8,2020,116,SA News,
342,China auto sales drop in June,Wed,Jul,8,2020,234,SA News,
343,Sunrun deal for Vivint to top Tesla as rooftop solar juggernaut,Tue,Jul,7,2020,57,SA News,
344,Tesla bears capitulate for the near term,Tue,Jul,7,2020,363,SA News,
345,Tesla market cap crown brings focus on valuation,Mon,Jul,6,2020,367,SA News,
346,"Tesla +6% after JMP hikes price target to $1,500",Mon,Jul,6,2020,279,SA News,
347,Musk teases Tesla shortsellers with 'Short Shorts',Mon,Jul,6,2020,319,SA News,
348,Musk tweaks SEC again with Tesla shares cruising,Thu,Jul,2,2020,418,SA News,
349,Tesla revamps plan for Giga Berlin,Thu,Jul,2,2020,116,SA News,
350,Tesla Q2 deliveries top 90K vs. 83K estimate; shares up 10%,Thu,Jul,2,2020,602,SA News,
351,Some clean energy ETFs shine in brutal first half for fossil fuels,Wed,Jul,1,2020,13,SA News,
352,Tesla rallies more to become the most valuable automaker,Wed,Jul,1,2020,556,SA News,
353,"Tesla investors frontrun deliveries report, potential S&P 500 inclusion",Tue,Jun,30,2020,293,SA News,
354,Germany called a bright spot for Tesla,Tue,Jun,30,2020,166,SA News,
355,'Breaking even is looking super tight' - Musk,Tue,Jun,30,2020,213,SA News,
356,EV pickups look for mainstream appeal,Mon,Jun,29,2020,120,SA News,
357,EV names lead auto sector higher,Mon,Jun,29,2020,88,SA News,
358,Tesla seen topping Q2 deliveries expectations,Mon,Jun,29,2020,412,SA News,
359,Sector Watch: Can Tesla deliveries lead autos as incentives wane?,Sun,Jun,28,2020,84,SA News,
360,Bezos a copycat - Elon Musk comments on Amazon's Zoox purchase,Fri,Jun,26,2020,240,SA News,
361,Amazon drives into autonomous vehicle chase with Zoox acquisition,Fri,Jun,26,2020,99,SA News,
362,Tesla workers claim they were terminated for safety complaints,Thu,Jun,25,2020,115,SA News,
363,Stage is set for the 2021 Ford F-150,Thu,Jun,25,2020,339,SA News,
364,Dodge shocks with top overall quality marks from J.D. Power,Wed,Jun,24,2020,164,SA News,
365,NHTSA probes Tesla over Model S touchscreens,Wed,Jun,24,2020,167,SA News,
366,Wait for a better entry point on Tesla - Morgan Stanley,Tue,Jun,23,2020,147,SA News,
367,Nevada supports clean car program,Tue,Jun,23,2020,39,SA News,
368,Cybertruck expected to hit the market strong,Mon,Jun,22,2020,657,SA News,
369,Tesla expected to offer 7-seat Model Y,Mon,Jun,22,2020,173,SA News,
370,"Tesla will postpone annual meeting, Musk says",Sat,Jun,20,2020,338,SA News,
371,J.P. Morgan favors these names for the stunning auto-sales recovery,Fri,Jun,19,2020,7,SA News,
372,JPMorgan pitches a tent in the Tesla bear camp,Fri,Jun,19,2020,313,SA News,
373,BMW and Mercedes go down different self-driving roads,Fri,Jun,19,2020,108,SA News,
374,Tesla pushes for sweet deal in Texas,Thu,Jun,18,2020,232,SA News,
375,Tesla widening the gap with peers - Jefferies,Thu,Jun,18,2020,330,SA News,
376,Board drama at Tesla as shares near $1K again,Thu,Jun,18,2020,114,SA News,
377,Tesla gets a pass for drop in California demand,Wed,Jun,17,2020,117,SA News,
378,"Tesla's California registrations fell 37% in recent months, the WSJ reports",Wed,Jun,17,2020,170,SA News,
379,Model Y complaints start to stack up,Tue,Jun,16,2020,292,SA News,
380,Glencore to sell cobalt to Tesla for new car plants - FT,Tue,Jun,16,2020,117,SA News,
381,Austin closes in on Tesla plant offer,Mon,Jun,15,2020,196,SA News,
382,Biggest increase in three years for EV charging points,Mon,Jun,15,2020,148,SA News,
383,Main Street has killed Wall Street during this rally. Here are the stocks they're buying,Mon,Jun,15,2020,172,SA News,
384,EV semis move toward proof of concept,Sat,Jun,13,2020,399,SA News,
385,"Tesla cut at Morgan Stanley on Amazon, China risk",Fri,Jun,12,2020,253,SA News,
386,GM over Tesla for the near term - Goldman Sachs,Fri,Jun,12,2020,110,SA News,
387,Nowhere to hide in auto sector today,Thu,Jun,11,2020,84,SA News,
388,China Model 3s approved with LFP batteries,Thu,Jun,11,2020,283,SA News,
389,"Tesla tops $1,000",Wed,Jun,10,2020,510,SA News,
390,"Tesla nears $1,000 as investors eye Semi, China potential",Wed,Jun,10,2020,166,SA News,
391,Tesla tagged with higher price target at Wedbush,Wed,Jun,10,2020,66,SA News,
392,Time for a Nikola Tesla ETF?,Tue,Jun,9,2020,98,SA News,
393,Tesla just getting started - Ron Baron,Tue,Jun,9,2020,239,SA News,
394,Musk says Model Y facing production and supply chain issues,Tue,Jun,9,2020,70,SA News,
395,Tesla +4% on strong bullish vibe,Mon,Jun,8,2020,215,SA News,
396,Tesla China model 3 sales volume triples in May,Mon,Jun,8,2020,181,SA News,
397,"Tesla's Musk throws down on Amazon, calls for breakup",Thu,Jun,4,2020,342,SA News,
398,Siemens-AES JV plans massive Tesla-beating lithium ion batteries,Thu,Jun,4,2020,69,SA News,
399,Germany ramps up EV incentives,Thu,Jun,4,2020,135,SA News,
400,Nikola goes public via VectoIQ merger,Thu,Jun,4,2020,230,SA News,
401,GM plots electric van to preempt Tesla,Thu,Jun,4,2020,103,SA News,
402,Cities push ahead with Tesla truck factory pursuit,Tue,Jun,2,2020,130,SA News,
403,China auto sales gain for second month in a row,Tue,Jun,2,2020,69,SA News,
404,Rocket boost for Tesla,Mon,Jun,1,2020,279,SA News,
405,Tesla expected to deliver Model Ys faster,Mon,Jun,1,2020,185,SA News,
406,SpaceX liftoff a success after week's earlier scrapping,Sat,May,30,2020,311,SA News,
407,EV sales forecast to soar in 2021,Fri,May,29,2020,561,SA News,
408,SpaceX borrows some Tesla employees,Fri,May,29,2020,98,SA News,
409,Elon Musk earns $775M performance-based payout,Thu,May,28,2020,380,SA News,
410,"In volatile market, Morgan Stanley chooses secular growth winners",Wed,May,27,2020,7,SA News,
411,Tesla catches PT boost from Wedbush,Wed,May,27,2020,149,SA News,
412,"Tesla to cut prices for some models in North America, China",Wed,May,27,2020,219,SA News,
413,Tesla seeks to build Model 3 with LFP batteries in China - Reuters,Sat,May,23,2020,373,SA News,
414,Online auto shopping on the rise,Fri,May,22,2020,142,SA News,
415,Ackman tempts Musk to join cities with Howard Hughes presence,Thu,May,21,2020,90,SA News,
416,Construction buzzing at Tesla's Shanghai Gigafactory - Electrek,Thu,May,21,2020,140,SA News,
417,Does Tesla need an operational leader?,Thu,May,21,2020,184,SA News,
418,Tesla gives anxious Fremont workers an option,Thu,May,21,2020,125,SA News,
419,Tesla abandons lawsuit to keep California plant open - CNBC,Wed,May,20,2020,129,SA News,
420,Tesla's China registrations slump in April,Tue,May,19,2020,222,SA News,
421,Morgan Stanley still stuck in neutral on Tesla,Mon,May,18,2020,55,SA News,
422,Expansion could be back on for Nevada Gigafactory,Mon,May,18,2020,54,SA News,
423,Tesla eyes S&P 500 inclusion,Mon,May,18,2020,170,SA News,
424,Tesla tells employees it received a nod to reopen California plant,Sun,May,17,2020,201,SA News,
425,"Appaloosa Management buys Twitter, exits Caesars, cuts Facebook",Sat,May,16,2020,114,SA News,
426,Saudi sovereign Fund adds Facebook and Disney to holdings,Sat,May,16,2020,98,SA News,
427,"Panasonic resumes work at Tesla Nevada facility, delays New York start",Fri,May,15,2020,51,SA News,
428,Austin expected to land next Tesla Gigafactory,Fri,May,15,2020,316,SA News,
429,Tesla plans for electrifying reveal at Battery Day,Thu,May,14,2020,445,SA News,
430,Tesla employees face return to work dilemma,Thu,May,14,2020,138,SA News,
431,Tesla dips after California AG chimes in,Wed,May,13,2020,258,SA News,
432,Tesla tipped to cut Model 3 prices in China,Wed,May,13,2020,92,SA News,
433,Tesla can reopen Fremont with additional precautions,Wed,May,13,2020,165,SA News,
434,Tesla gains as POTUS backs Fremont opening,Tue,May,12,2020,215,SA News,
435,Alameda doesn't handcuff Tesla,Mon,May,11,2020,280,SA News,
436,"Tesla ignores local authorities, to restart production in Fremont",Mon,May,11,2020,467,SA News,
437,Texas pursues Tesla,Mon,May,11,2020,240,SA News,
438,Tesla lower as relocation risk sized up,Mon,May,11,2020,158,SA News,
439,Tesla model 3 sales in China plunge 64% in April,Mon,May,11,2020,225,SA News,
440,Musk says Tesla is done with California,Sat,May,9,2020,1169,SA News,
441,Tesla secures lending line in China,Sat,May,9,2020,135,SA News,
442,Tesla not yet cleared to reopen California plant,Fri,May,8,2020,173,SA News,
443,Tesla rallies right past report of European chief exit,Fri,May,8,2020,189,SA News,
444,Tesla set to restart operations at Fremont,Fri,May,8,2020,214,SA News,
445,Tesla extends break at Shanghai plant,Thu,May,7,2020,183,SA News,
446,Green shoots in China auto,Thu,May,7,2020,55,SA News,
447,Model 3 tops the list in collapsed U.K. market,Wed,May,6,2020,243,SA News,
448,"Ferrari tops Detroit Three, Tesla tops all",Tue,May,5,2020,216,SA News,
449,Tesla +6% with Musk tweet in rear-view mirror,Mon,May,4,2020,109,SA News,
450,EVs remain a priority in China,Mon,May,4,2020,116,SA News,
451,A glut for the U.S. auto industry,Sun,May,3,2020,310,SA News,
452,Tesla applies to provide electricity in U.K.- Telegraph,Sat,May,2,2020,349,SA News,
453,Tesla extends timeline on return to work,Sat,May,2,2020,149,SA News,
454,Elon Musk downgrades Tesla (updated),Fri,May,1,2020,1146,SA News,
455,Greenlight talks the longs and shorts of Q1,Fri,May,1,2020,48,SA News,
456,Einhorn's Greenlight Capital slips again in April,Fri,May,1,2020,97,SA News,
457,Tesla drops Model 3 prices in China for subsidy inclusion,Fri,May,1,2020,88,SA News,
458,Einhorn barks at Musk again,Thu,Apr,30,2020,294,SA News,
459,Tesla pares early pop after the dust settles,Thu,Apr,30,2020,126,SA News,
460,"Lockdowns are 'fascist,' says Musk, Zuckerberg disagrees",Thu,Apr,30,2020,513,SA News,
461,Wedbush sees Tesla hitting 100K run rate in China,Wed,Apr,29,2020,107,SA News,
462,Tesla +10% with a plan to put the pedal to the metal (updated),Wed,Apr,29,2020,169,SA News,
463,Tesla rides higher after surprise Q1 profit,Wed,Apr,29,2020,299,SA News,
464,"Tesla EPS beats by $1.45, beats on revenue",Wed,Apr,29,2020,305,SA News,
465,Tesla Q1 2020 Earnings Preview,Tue,Apr,28,2020,140,SA News,
466,Huge payday looming for Elon Musk,Tue,Apr,28,2020,259,SA News,
467,"Into earnings, Baird points to high-interest Energy Tech names",Mon,Apr,27,2020,259,SA News,
468,Tesla reverses plan to bring workers back to Fremont plant - CNBC,Mon,Apr,27,2020,124,SA News,
469,Tesla rallies even with Fremont opening date unclear,Mon,Apr,27,2020,120,SA News,
470,Tesla +4% as earnings day approaches,Mon,Apr,27,2020,214,SA News,
471,Tesla calling some workers back to California plant next week - Bloomberg,Sat,Apr,25,2020,196,SA News,
472,Texas in the mix for Tesla plant,Sat,Apr,25,2020,178,SA News,
473,Musk: Tesla will build cybertrucks wherever new factory lands,Fri,Apr,24,2020,104,SA News,
474,Tesla raises China prices after subsidies cut,Fri,Apr,24,2020,198,SA News,
475,Tesla's new board member likes to take on shorts,Thu,Apr,23,2020,142,SA News,
476,BofA sees Tesla going in reverse,Wed,Apr,22,2020,239,SA News,
477,"Robinhood names top 10 stocks in March, as platform saw surging volumes",Mon,Apr,20,2020,360,SA News,
478,Tesla keeps trucking higher,Fri,Apr,17,2020,441,SA News,
479,Lawsuit over Elon Musk's 'funding secured' tweet moves on,Wed,Apr,15,2020,431,SA News,
480,Animal spirits firing up again on Tesla,Wed,Apr,15,2020,249,SA News,
481,Zoox agrees to settle lawsuit with Tesla for alleged trade secret theft,Wed,Apr,15,2020,27,SA News,
482,Tesla China registrations jump with Shanghai pumping out Model 3s,Wed,Apr,15,2020,106,SA News,
483,Goldman Sachs a believer in Tesla,Tue,Apr,14,2020,242,SA News,
484,Joplin makes a strong play for the Midwest Gigafactory,Tue,Apr,14,2020,109,SA News,
485,Auto sector burns cash with plants idled,Tue,Apr,14,2020,133,SA News,
486,Credit Suisse pulls bearish view on Tesla,Tue,Apr,14,2020,187,SA News,
487,Tesla pursues rent reductions amid pandemic - WSJ,Tue,Apr,14,2020,162,SA News,
488,Tesla to sell more Shanghai-built versions of Model 3,Fri,Apr,10,2020,264,SA News,
489,China auto starts slow crawl back,Thu,Apr,9,2020,44,SA News,
490,"Tesla cuts pay, furloughs hourly workers until May 4",Tue,Apr,7,2020,208,SA News,
491,Tesla jumps to four-week high,Tue,Apr,7,2020,71,SA News,
492,Longer range China-made Model 3,Tue,Apr,7,2020,108,SA News,
493,Tesla +5% after Jefferies bump,Mon,Apr,6,2020,198,SA News,
494,Tesla letting off contract workers at US car and battery plants,Sat,Apr,4,2020,158,SA News,
495,Tesla +7% as investors take the longer view,Fri,Apr,3,2020,132,SA News,
496,Tesla rallies after deliveries top 88K,Thu,Apr,2,2020,806,SA News,
497,Cybertruck talk picks up,Thu,Apr,2,2020,159,SA News,
498,"Chanos covers Luckin short, warns on ""virus"" names",Thu,Apr,2,2020,260,SA News,
499,Tesla seen riding out pandemic,Wed,Apr,1,2020,410,SA News,
500,Tesla deliveries estimates to be dialed down,Mon,Mar,30,2020,199,SA News,
501,Tesla to cut staff by 75% at Gigafactory 1,Fri,Mar,27,2020,383,SA News,
502,Tesla to start delivering ventilators to NY hospitals tonight,Thu,Mar,26,2020,332,SA News,
503,Tesla informs employees about positive coronavirus cases,Thu,Mar,26,2020,165,SA News,
504,Giga New York to reopen for ventilator production,Thu,Mar,26,2020,303,SA News,
505,Tesla shakes off bear call,Tue,Mar,24,2020,206,SA News,
506,Tesla nabs ventilators from China in COVID-19 fight,Tue,Mar,24,2020,138,SA News,
507,Steep drop in U.S. auto sales forecast for full year,Mon,Mar,23,2020,73,SA News,
508,Automakers get green light for ventilators,Mon,Mar,23,2020,166,SA News,
509,Musk discusses ventilators with Medtronic,Sun,Mar,22,2020,236,SA News,
510,Panasonic pulls the plug at the Gigafactory for two weeks,Sat,Mar,21,2020,182,SA News,
511,Auto sector gains even as plants go dark,Fri,Mar,20,2020,50,SA News,
512,Tesla suspends production in California,Thu,Mar,19,2020,503,SA News,
513,NTSB cites Tesla's Autopilot in fatal Model 3 crash,Thu,Mar,19,2020,142,SA News,
514,Tesla rallies with the lights still on in Fremont,Thu,Mar,19,2020,175,SA News,
515,Wedbush expects rough road for Tesla in near term,Thu,Mar,19,2020,117,SA News,
516,Tesla will make ventilators if there's a shortage,Thu,Mar,19,2020,271,SA News,
517,Tesla keeping Fremont plant open with fraction of workers - Sheriff,Wed,Mar,18,2020,222,SA News,
518,Detroit automakers close U.S. plants while Tesla holds out,Wed,Mar,18,2020,187,SA News,
519,Tesla -10% as Fremont production in question,Wed,Mar,18,2020,327,SA News,
520,Tesla plant not considered an essential Bay Area business,Tue,Mar,17,2020,277,SA News,
521,Morgan Stanley stress tests auto,Tue,Mar,17,2020,3,SA News,
522,Tesla to stay running in Fremont,Tue,Mar,17,2020,236,SA News,
523,Tesla delivers its first Model Y,Tue,Mar,17,2020,268,SA News,
524,RBC expects 20% decline in US vehicle sales amid coronavirus outbreak,Tue,Mar,17,2020,28,SA News,
525,Bernstein still sees Tesla as overvalued,Mon,Mar,16,2020,126,SA News,
526,Transports reeling after U.S. shutdowns,Mon,Mar,16,2020,51,SA News,
527,Tesla falls sharply as U.S. coronavirus anxiety ramps up,Mon,Mar,16,2020,249,SA News,
528,U.S. auto set to zoom higher,Fri,Mar,13,2020,128,SA News,
529,Tesla posts double-digit drop,Thu,Mar,12,2020,251,SA News,
530,Auto stocks slammed in early trading,Thu,Mar,12,2020,114,SA News,
531,Tesla looks to build Cybertruck in central U.S.,Tue,Mar,10,2020,472,SA News,
532,Tesla said to lose key Model 3 exec,Tue,Mar,10,2020,145,SA News,
533,Cheap gas not seen disrupting EV transformation,Tue,Mar,10,2020,299,SA News,
534,Tesla makes one millionth car,Tue,Mar,10,2020,243,SA News,
535,Tesla plans to hike Shanghai factory's car parts production - Reuters,Tue,Mar,10,2020,159,SA News,
536,The auto sector spins out,Mon,Mar,9,2020,110,SA News,
537,Tesla -11% as investors take risk off the table,Mon,Mar,9,2020,164,SA News,
538,Top investor says Tesla is 'better run' after shakeup,Mon,Mar,9,2020,101,SA News,
539,Tesla gets green light in China for longer-range Model 3,Fri,Mar,6,2020,389,SA News,
540,Wedbush sees GM as serious player in EVs,Wed,Mar,4,2020,187,SA News,
541,GM is Morgan Stanley's top pick in auto,Wed,Mar,4,2020,132,SA News,
542,Tesla +7% after landing JMP Securities upgrade,Tue,Mar,3,2020,264,SA News,
543,Cybertruck passes early test with construction pros,Sat,Feb,29,2020,612,SA News,
544,Consumer favorites have a week to forget,Fri,Feb,28,2020,98,SA News,
545,Tesla continues to slide,Thu,Feb,27,2020,413,SA News,
546,"Tesla, Panasonic end solar deal in New York",Wed,Feb,26,2020,322,SA News,
547,Tesla slammed at NTSB hearing,Tue,Feb,25,2020,493,SA News,
548,Tesla -7% as coronavirus cases climb,Mon,Feb,24,2020,327,SA News,
549,China auto deliveries come to a standstill,Fri,Feb,21,2020,354,SA News,
550,Clearing operations resume at Giga Berlin,Fri,Feb,21,2020,191,SA News,
551,Consumer high-flyers hit a mid-day tripwire,Thu,Feb,20,2020,80,SA News,
552,Tesla rally powers up again,Wed,Feb,19,2020,396,SA News,
553,Tesla rally keeps analysts scrambling,Tue,Feb,18,2020,228,SA News,
554,Renaissance Technologies rides Tesla rally,Tue,Feb,18,2020,89,SA News,
555,Tesla looks at cobalt-free batteries,Tue,Feb,18,2020,192,SA News,
556,Court halts forest clearance for Giga Berlin,Mon,Feb,17,2020,358,SA News,
557,Loup Ventures sees Tesla in the EV pole position,Sat,Feb,15,2020,300,SA News,
558,Tesla acknowledges 'health epidemics' as risk in filing,Fri,Feb,14,2020,196,SA News,
559,Tesla pricing $2B offering at $767/share - Bloomberg,Thu,Feb,13,2020,247,SA News,
560,Tesla's capital raise called a smart move,Thu,Feb,13,2020,386,SA News,
561,Tesla discloses new subpoena,Thu,Feb,13,2020,125,SA News,
562,Tesla hits the capital raise button,Thu,Feb,13,2020,335,SA News,
563,Tesla recalls 15K Model X SUVs over power steering issue,Wed,Feb,12,2020,313,SA News,
564,Tesla crashes placed on NTSB docket,Tue,Feb,11,2020,243,SA News,
565,Tesla +7% as Shanghai workers roll in,Mon,Feb,10,2020,201,SA News,
566,Automakers look to restart production in China,Mon,Feb,10,2020,57,SA News,
567,Giga Berlin eligible for state subsidies,Sun,Feb,9,2020,179,SA News,
568,Tesla aims for restart in Shanghai next week,Sat,Feb,8,2020,285,SA News,
569,Tesla continues slide as China slowdown factors in,Thu,Feb,6,2020,162,SA News,
570,Tesla -18% as selling picks up,Wed,Feb,5,2020,494,SA News,
571,Tesla tumbling after confirming China deliveries delay,Wed,Feb,5,2020,286,SA News,
572,Canaccord downgrades Tesla after sizzling rally,Wed,Feb,5,2020,99,SA News,
573,Musk asks Twitter about 'Giga Texas',Wed,Feb,5,2020,151,SA News,
574,Tesla rally takes a breather into the close,Tue,Feb,4,2020,227,SA News,
575,Tesla goes parabolic; Citron says even Musk might short here,Tue,Feb,4,2020,459,SA News,
576,Tesla makes a run at $900,Tue,Feb,4,2020,371,SA News,
577,Tesla tops $800 on boost from Panasonic JV,Tue,Feb,4,2020,209,SA News,
578,Tesla soars on China growth conviction,Mon,Feb,3,2020,646,SA News,
579,Tesla burns rubber again,Mon,Feb,3,2020,563,SA News,
580,CATL confirms Tesla supply deal,Mon,Feb,3,2020,174,SA News,
581,Tesla +8% as analysts try to keep up,Thu,Jan,30,2020,504,SA News,
582,Tesla promises quick ramp for Model Y as shares surge,Wed,Jan,29,2020,235,SA News,
583,Wedbush sees Tesla cruising to 1M deliveries,Wed,Jan,29,2020,114,SA News,
584,Tesla blasts through $600 after big earnings beat,Wed,Jan,29,2020,546,SA News,
585,"Tesla EPS beats by $0.38, beats on revenue",Wed,Jan,29,2020,276,SA News,
586,WWII bombs defused at Tesla's German site,Wed,Jan,29,2020,107,SA News,
587,Tesla Q4 2019 Earnings Preview,Tue,Jan,28,2020,140,SA News,
588,What to watch in Tesla's Q4 report,Tue,Jan,28,2020,149,SA News,
589,China anxiety dents auto sector,Mon,Jan,27,2020,90,SA News,
590,Rivian looks to crash EV party,Sun,Jan,26,2020,476,SA News,
591,U.S. Senator takes dig at Tesla's Autopilot,Fri,Jan,24,2020,336,SA News,
592,UBS note on Tesla scratches heads,Thu,Jan,23,2020,198,SA News,
593,Tesla faces new suit over acceleration,Wed,Jan,22,2020,173,SA News,
594,Wedbush confident on Tesla ahead of earnings,Wed,Jan,22,2020,244,SA News,
595,"Tesla joins $100B club, tops Volkswagen",Wed,Jan,22,2020,326,SA News,
596,Tesla breaks through in Michigan,Tue,Jan,21,2020,240,SA News,
597,Analysts upshift and downshift on Tesla,Tue,Jan,21,2020,171,SA News,
598,Tesla blasts U.S. safety recall petition,Tue,Jan,21,2020,246,SA News,
599,Tesla secures land for European factory,Sun,Jan,19,2020,505,SA News,
600,Tesla unintended acceleration complaints to come under NHTSA scrutiny,Fri,Jan,17,2020,339,SA News,
601,Tesla cools off after Morgan Stanley turns bearish,Thu,Jan,16,2020,217,SA News,
602,New Tesla registrations nearly halve in California,Thu,Jan,16,2020,559,SA News,
603,Tesla looks to Glencore for cobalt,Wed,Jan,15,2020,111,SA News,
604,U.S. auto sales forecast to fall slightly in 2020,Tue,Jan,14,2020,38,SA News,
605,Tesla rally finds a new gear,Tue,Jan,14,2020,219,SA News,
606,Tesla races past $500,Mon,Jan,13,2020,660,SA News,
607,Israel grounds Tesla's Autopilot - Calcalist,Mon,Jan,13,2020,250,SA News,
608,Tesla PT hiked to $553 at Piper Sandler on China growth potential,Fri,Jan,10,2020,225,SA News,
609,Noted Tesla bull says take profits here,Thu,Jan,9,2020,238,SA News,
610,Slow roll for Toyota in EVs?,Wed,Jan,8,2020,274,SA News,
611,Tesla price target hiked to Street-high $556 by Argus,Tue,Jan,7,2020,404,SA News,
612,Tesla spirals to record market cap for U.S. automaker,Tue,Jan,7,2020,350,SA News,
613,Sony shocks at CES with electric car concept,Tue,Jan,7,2020,217,SA News,
614,Credit Suisse stays in bear camp on Tesla,Tue,Jan,7,2020,156,SA News,
615,Model Y program launches in Shanghai,Tue,Jan,7,2020,193,SA News,
616,Model Y expected to be mentioned at Tesla event tomorrow,Mon,Jan,6,2020,199,SA News,
617,Tesla rises to record high after beating Q4 delivery guidance,Fri,Jan,3,2020,426,SA News,
618,Auto sector hits the skids,Fri,Jan,3,2020,142,SA News,
619,Wedbush calls China the Tesla wildcard,Fri,Jan,3,2020,62,SA News,
620,Tesla +1% after topping Q4 deliveries expectations,Fri,Jan,3,2020,284,SA News,
621,Record year for Tesla in Norway,Fri,Jan,3,2020,144,SA News,
622,Tesla slashes price of China-made Model 3,Fri,Jan,3,2020,253,SA News,
623,Canaccord Genuity fires off Street-high PT on Tesla,Thu,Jan,2,2020,182,SA News,
624,First customers to receive China-made Model 3s,Thu,Jan,2,2020,83,SA News,
625,Tesla faces lawsuit claiming racism,Wed,Jan,1,2020,236,SA News,
